,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
354,12/27/2023,PHI,ORL,ORL,-2.5,228.5,19179,[]
355,12/27/2023,TOR,WAS,TOR,-6.5,242.5,15437,[]
356,12/27/2023,MIL,BKN,MIL,-9.5,244.5,18199,[]
357,12/27/2023,PHX,HOU,PHX,-2.5,225.5,18055,[]
358,12/27/2023,NYK,OKC,OKC,-3.5,241.5,18203,[]
359,12/27/2023,CLE,DAL,DAL,-6.5,232.5,20377,[]
360,12/28/2023,DET,BOS,BOS,-17.5,234.5,19156,[]
361,12/28/2023,IND,CHI,CHI,-0.5,238.5,21568,[]
362,12/28/2023,DAL,MIN,MIN,-12.5,227.5,18024,[]
363,12/28/2023,UTA,NOP,NOP,-8.5,239.5,17753,[]
364,12/28/2023,MEM,DEN,DEN,-9.5,222.5,19733,[]
365,12/28/2023,MIA,GSW,GSW,-6.5,232.5,18064,[]
366,12/28/2023,SAS,POR,POR,-3.5,232.5,19335,[]
367,12/28/2023,CHA,LAL,LAL,-13.5,226.5,18997,[]
368,12/29/2023,NYK,ORL,ORL,-0.5,226.5,19587,[]
369,12/29/2023,BKN,WAS,BKN,-5.5,242.5,16825,[]
370,12/29/2023,SAC,ATL,ATL,-1.5,252.5,18305,[]
371,12/29/2023,TOR,BOS,BOS,-5.5,228.5,19156,[]
372,12/29/2023,MIL,CLE,MIL,-5.5,241.5,19432,[]
373,12/29/2023,PHI,HOU,PHI,-1.5,224.5,18055,[]
374,12/29/2023,OKC,DEN,DEN,-1.5,237.5,19808,[]
375,12/29/2023,CHA,PHX,PHX,-15.5,231.5,17071,[]
376,12/29/2023,SAS,POR,POR,-4.5,233.5,18861,[]
377,12/29/2023,MEM,LAC,LAC,-3.5,230.5,19370,[]
378,12/30/2023,MIA,UTA,MIA,-3.5,232.5,18206,[]
379,12/30/2023,TOR,DET,TOR,-3.5,232.5,18411,[]
380,12/30/2023,NYK,IND,IND,-3.5,247.5,17274,[]
381,12/30/2023,PHI,CHI,CHI,-0.5,225.5,21648,[]
382,12/30/2023,LAL,MIN,MIN,-4.5,227.5,18024,[]
383,12/30/2023,DAL,GSW,GSW,-3.5,243.5,18064,[]
384,12/31/2023,ATL,WAS,ATL,-6.5,252.5,17042,[]
